t;U;U
[s];[V];[V]

0,000;-0,02;0,01
0,010;-0,01;0,02
0,020;-0,01;0,02
0,030;-0,01;0,02
0,040;-0,01;0,02
0,050;-0,01;0,02
0,060;-0,01;0,02
0,070;-0,01;0,02
0,080;-0,01;0,02
0,090;-0,01;0,02
0,100;-0,00;0,02
0,110;-0,00;0,02
0,120;-0,00;0,02
0,130;0,00;0,03
0,140;0,00;0,03
0,150;0,00;0,03
0,160;0,00;0,03
0,170;0,01;0,03
0,180;0,01;0,03
0,190;0,01;0,03
0,200;0,01;0,03
0,210;0,01;0,04
0,220;0,01;0,04
0,230;0,01;0,04
0,240;0,02;0,04
0,250;0,02;0,04
0,260;0,02;0,04
0,270;0,02;0,05
0,280;0,02;0,05
0,290;0,02;0,05
0,300;0,03;0,05
0,310;0,03;0,05
0,320;0,03;0,06
0,330;0,04;0,06
0,340;0,04;0,06
0,350;0,04;0,07
0,360;0,05;0,07
0,370;0,05;0,08
0,380;0,05;0,08
0,390;0,06;0,08
0,400;0,06;0,09
0,410;0,06;0,09
0,420;0,07;0,09
0,430;0,07;0,09
0,440;0,07;0,10
0,450;0,07;0,10
0,460;0,08;0,10
0,470;0,08;0,11
0,480;0,08;0,11
0,490;0,09;0,11
0,500;0,09;0,11
0,510;0,09;0,12
0,520;0,10;0,12
0,530;0,10;0,12
0,540;0,10;0,12
0,550;0,10;0,12
0,560;0,11;0,12
0,570;0,11;0,12
0,580;0,11;0,13
0,590;0,11;0,13
0,600;0,11;0,13
0,610;0,11;0,13
0,620;0,12;0,13
0,630;0,11;0,13
0,640;0,12;0,13
0,650;0,11;0,12
0,660;0,11;0,12
0,670;0,12;0,12
0,680;0,11;0,12
0,690;0,12;0,12
0,700;0,11;0,12
0,710;0,11;0,12
0,720;0,11;0,12
0,730;0,11;0,11
0,740;0,11;0,11
0,750;0,11;0,11
0,760;0,11;0,11
0,770;0,11;0,11
0,780;0,11;0,10
0,790;0,11;0,10
0,800;0,10;0,10
0,810;0,10;0,10
0,820;0,10;0,09
0,830;0,10;0,09
0,840;0,09;0,09
0,850;0,09;0,09
0,860;0,09;0,08
0,870;0,09;0,08
0,880;0,08;0,08
0,890;0,08;0,08
0,900;0,08;0,07
0,910;0,08;0,07
0,920;0,07;0,07
0,930;0,07;0,06
0,940;0,07;0,06
0,950;0,06;0,06
0,960;0,06;0,05
0,970;0,06;0,05
0,980;0,05;0,04
0,990;0,05;0,04
1,000;0,05;0,04
1,010;0,04;0,03
1,020;0,04;0,03
1,030;0,04;0,03
1,040;0,03;0,02
1,050;0,03;0,02
1,060;0,02;0,02
1,070;0,02;0,01
1,080;0,01;0,01
1,090;0,01;0,00
1,100;0,00;0,00
1,110;-0,00;-0,00
1,120;-0,00;-0,01
1,130;-0,01;-0,01
1,140;-0,01;-0,01
1,150;-0,02;-0,02
1,160;-0,02;-0,02
1,170;-0,03;-0,03
1,180;-0,03;-0,03
1,190;-0,04;-0,03
1,200;-0,04;-0,04
1,210;-0,05;-0,04
1,220;-0,05;-0,04
1,230;-0,06;-0,05
1,240;-0,06;-0,05
1,250;-0,06;-0,05
1,260;-0,07;-0,06
