t;U;U
[s];[V];[V]

0,000;0,16;0,04
0,010;0,16;0,04
0,020;0,17;0,04
0,030;0,17;0,03
0,040;0,17;0,03
0,050;0,17;0,04
0,060;0,17;0,04
0,070;0,17;0,03
0,080;0,17;0,03
0,090;0,17;0,03
0,100;0,17;0,03
0,110;0,17;0,03
0,120;0,17;0,02
0,130;0,17;0,02
0,140;0,16;0,02
0,150;0,16;0,02
0,160;0,16;0,02
0,170;0,16;0,02
0,180;0,16;0,02
0,190;0,16;0,01
0,200;0,16;0,02
0,210;0,16;0,01
0,220;0,16;0,01
0,230;0,16;0,01
0,240;0,16;0,01
0,250;0,16;0,01
0,260;0,16;0,01
0,270;0,16;0,01
0,280;0,16;0,01
0,290;0,16;0,01
0,300;0,16;0,01
0,310;0,16;0,01
0,320;0,16;0,01
0,330;0,16;0,01
0,340;0,16;0,01
0,350;0,16;0,01
0,360;0,16;0,00
0,370;0,16;0,00
0,380;0,16;0,00
0,390;0,16;0,00
0,400;0,16;0,00
0,410;0,16;0,00
0,420;0,16;0,01
0,430;0,16;0,01
0,440;0,16;0,01
0,450;0,16;0,01
0,460;0,16;0,01
0,470;0,17;0,01
0,480;0,17;0,01
0,490;0,17;0,01
0,500;0,17;0,01
0,510;0,17;0,01
0,520;0,17;0,01
0,530;0,17;0,01
0,540;0,17;0,01
0,550;0,17;0,01
0,560;0,17;0,01
0,570;0,17;0,01
0,580;0,17;0,01
0,590;0,17;0,01
0,600;0,17;0,01
0,610;0,17;0,01
0,620;0,17;0,01
0,630;0,17;0,01
0,640;0,17;0,01
0,650;0,17;0,01
0,660;0,17;0,01
0,670;0,17;0,01
0,680;0,17;0,01
0,690;0,17;0,01
0,700;0,17;0,01
0,710;0,17;0,01
0,720;0,17;0,01
0,730;0,17;0,01
0,740;0,17;0,01
0,750;0,17;0,01
0,760;0,17;0,01
0,770;0,17;0,01
0,780;0,17;0,01
0,790;0,17;0,01
0,800;0,17;0,01
0,810;0,17;0,01
0,820;0,17;0,01
0,830;0,17;0,01
0,840;0,17;0,01
0,850;0,17;0,01
0,860;0,17;0,01
0,870;0,17;0,01
0,880;0,18;0,02
0,890;0,18;0,02
0,900;0,18;0,02
0,910;0,18;0,02
0,920;0,18;0,02
0,930;0,18;0,02
0,940;0,18;0,02
0,950;0,18;0,02
0,960;0,18;0,02
0,970;0,18;0,02
0,980;0,18;0,02
0,990;0,18;0,02
1,000;0,18;0,02
1,010;0,18;0,02
1,020;0,18;0,02
1,030;0,18;0,02
1,040;0,18;0,02
1,050;0,18;0,02
1,060;0,18;0,02
1,070;0,18;0,02
1,080;0,18;0,02
1,090;0,18;0,02
1,100;0,18;0,02
1,110;0,18;0,02
1,120;0,18;0,02
1,130;0,18;0,02
1,140;0,18;0,02
1,150;0,18;0,02
1,160;0,18;0,03
1,170;0,18;0,03
1,180;0,18;0,03
1,190;0,18;0,02
1,200;0,18;0,02
1,210;0,18;0,02
1,220;0,18;0,02
1,230;0,18;0,02
1,240;0,18;0,02
1,250;0,18;0,02
1,260;0,18;0,02
1,270;0,18;0,02
1,280;0,18;0,02
1,290;0,18;0,02
1,300;0,18;0,02
