t;U;U
[s];[V];[V]

0,000;-0,13;-0,07
0,010;-0,11;-0,08
0,020;-0,11;-0,09
0,030;-0,11;-0,09
0,040;-0,11;-0,09
0,050;-0,11;-0,08
0,060;-0,11;-0,08
0,070;-0,11;-0,08
0,080;-0,11;-0,09
0,090;-0,11;-0,09
0,100;-0,11;-0,09
0,110;-0,11;-0,09
0,120;-0,11;-0,09
0,130;-0,11;-0,09
0,140;-0,11;-0,09
0,150;-0,12;-0,09
0,160;-0,11;-0,09
0,170;-0,12;-0,09
0,180;-0,12;-0,09
0,190;-0,12;-0,09
0,200;-0,12;-0,09
0,210;-0,12;-0,09
0,220;-0,12;-0,09
0,230;-0,12;-0,09
0,240;-0,12;-0,10
0,250;-0,12;-0,10
0,260;-0,12;-0,10
0,270;-0,12;-0,10
0,280;-0,12;-0,10
0,290;-0,12;-0,10
0,300;-0,12;-0,10
0,310;-0,12;-0,10
0,320;-0,12;-0,09
0,330;-0,12;-0,09
0,340;-0,12;-0,09
0,350;-0,11;-0,09
0,360;-0,11;-0,09
0,370;-0,11;-0,09
0,380;-0,11;-0,09
0,390;-0,11;-0,09
0,400;-0,11;-0,09
0,410;-0,11;-0,09
0,420;-0,10;-0,09
0,430;-0,10;-0,08
0,440;-0,10;-0,08
0,450;-0,10;-0,08
0,460;-0,10;-0,08
0,470;-0,09;-0,08
0,480;-0,09;-0,08
0,490;-0,09;-0,07
0,500;-0,09;-0,07
0,510;-0,08;-0,07
0,520;-0,08;-0,06
0,530;-0,08;-0,06
0,540;-0,07;-0,06
0,550;-0,07;-0,05
0,560;-0,07;-0,05
0,570;-0,06;-0,05
0,580;-0,06;-0,04
0,590;-0,06;-0,04
0,600;-0,05;-0,04
0,610;-0,05;-0,03
0,620;-0,05;-0,03
0,630;-0,04;-0,03
0,640;-0,04;-0,02
0,650;-0,04;-0,02
0,660;-0,04;-0,02
0,670;-0,03;-0,01
0,680;-0,03;-0,01
0,690;-0,03;-0,01
0,700;-0,02;-0,00
0,710;-0,02;-0,00
0,720;-0,02;0,00
0,730;-0,01;0,01
0,740;-0,01;0,01
0,750;-0,01;0,01
0,760;-0,00;0,02
0,770;-0,00;0,02
0,780;0,00;0,02
0,790;0,01;0,03
0,800;0,01;0,03
0,810;0,01;0,03
0,820;0,02;0,04
0,830;0,02;0,04
0,840;0,02;0,04
0,850;0,02;0,04
0,860;0,03;0,05
0,870;0,03;0,05
0,880;0,03;0,05
0,890;0,03;0,05
0,900;0,04;0,06
0,910;0,04;0,06
0,920;0,04;0,06
0,930;0,04;0,06
0,940;0,05;0,07
0,950;0,05;0,07
0,960;0,05;0,07
0,970;0,05;0,07
0,980;0,06;0,08
0,990;0,06;0,08
1,000;0,06;0,08
1,010;0,06;0,08
1,020;0,06;0,08
1,030;0,07;0,09
1,040;0,07;0,09
1,050;0,07;0,09
1,060;0,07;0,09
1,070;0,07;0,09
1,080;0,08;0,10
1,090;0,08;0,10
1,100;0,08;0,10
1,110;0,08;0,10
1,120;0,08;0,10
1,130;0,08;0,11
1,140;0,08;0,11
1,150;0,09;0,11
1,160;0,09;0,11
1,170;0,09;0,11
