t;U;U
[s];[V];[V]

0,000;-0,06;0,05
0,010;-0,06;0,06
0,020;-0,06;0,06
0,030;-0,05;0,07
0,040;-0,05;0,07
0,050;-0,05;0,07
0,060;-0,05;0,07
0,070;-0,05;0,07
0,080;-0,05;0,08
0,090;-0,05;0,08
0,100;-0,05;0,08
0,110;-0,06;0,08
0,120;-0,06;0,08
0,130;-0,06;0,08
0,140;-0,06;0,08
0,150;-0,06;0,07
0,160;-0,07;0,07
0,170;-0,07;0,08
0,180;-0,07;0,08
0,190;-0,07;0,08
0,200;-0,07;0,08
0,210;-0,07;0,08
0,220;-0,07;0,08
0,230;-0,07;0,08
0,240;-0,07;0,08
0,250;-0,07;0,07
0,260;-0,07;0,07
0,270;-0,07;0,07
0,280;-0,07;0,07
0,290;-0,07;0,07
0,300;-0,07;0,08
0,310;-0,07;0,08
0,320;-0,07;0,08
0,330;-0,07;0,08
0,340;-0,07;0,08
0,350;-0,07;0,08
0,360;-0,07;0,08
0,370;-0,07;0,08
0,380;-0,07;0,08
0,390;-0,06;0,08
0,400;-0,06;0,08
0,410;-0,06;0,08
0,420;-0,06;0,08
0,430;-0,06;0,08
0,440;-0,05;0,08
0,450;-0,05;0,08
0,460;-0,05;0,07
0,470;-0,05;0,07
0,480;-0,05;0,07
0,490;-0,04;0,07
0,500;-0,04;0,07
0,510;-0,04;0,07
0,520;-0,04;0,06
0,530;-0,03;0,06
0,540;-0,03;0,06
0,550;-0,03;0,06
0,560;-0,02;0,06
0,570;-0,02;0,06
0,580;-0,02;0,06
0,590;-0,02;0,05
0,600;-0,01;0,05
0,610;-0,01;0,05
0,620;-0,01;0,05
0,630;-0,01;0,04
0,640;-0,00;0,04
0,650;0,00;0,04
0,660;0,00;0,03
0,670;0,01;0,03
0,680;0,01;0,03
0,690;0,01;0,02
0,700;0,02;0,02
0,710;0,02;0,02
0,720;0,02;0,01
0,730;0,03;0,01
0,740;0,03;0,01
0,750;0,03;0,00
0,760;0,04;-0,00
0,770;0,04;-0,00
0,780;0,04;-0,01
0,790;0,05;-0,01
0,800;0,05;-0,01
0,810;0,05;-0,02
0,820;0,06;-0,02
0,830;0,06;-0,02
0,840;0,06;-0,03
0,850;0,07;-0,03
0,860;0,07;-0,03
0,870;0,07;-0,03
0,880;0,07;-0,04
0,890;0,08;-0,04
0,900;0,08;-0,04
0,910;0,08;-0,04
0,920;0,08;-0,05
0,930;0,09;-0,05
0,940;0,09;-0,05
0,950;0,09;-0,05
0,960;0,09;-0,06
0,970;0,09;-0,06
0,980;0,09;-0,06
0,990;0,10;-0,06
1,000;0,10;-0,06
1,010;0,10;-0,06
1,020;0,10;-0,06
1,030;0,10;-0,07
1,040;0,10;-0,07
1,050;0,10;-0,07
1,060;0,11;-0,07
1,070;0,11;-0,07
1,080;0,11;-0,07
1,090;0,11;-0,07
1,100;0,11;-0,07
1,110;0,11;-0,07
1,120;0,11;-0,07
1,130;0,11;-0,07
1,140;0,11;-0,07
1,150;0,11;-0,07
1,160;0,11;-0,07
1,170;0,11;-0,07
1,180;0,10;-0,07
1,190;0,10;-0,07
1,200;0,10;-0,08
